X,Y,Gush,Helka,Shem atar rashi,mispar siduri,ktuvet,Anaf peilut mezahamet,Peelut mezahemet,Matzav Minhali,Sug tipul,Status gas karka,Drisha lemigun mivnim,Moed thilat tipul,Moed sium tipul,Taarich idkun
177230,662380,7071,"126 ,62",בית האשל 9 - בן עזריה 6,6578,בית האשל 9 - בן עזריה 6,,אחר,לפני סקירה,חפירה וסילוק,הוכח זיהום,לא,2006,2010,2018
179650,665900,6216,25,מתחם סומייל דרום,7018,ארלוזורוב 87,,אחר,"שוקם, ללא NFA",טרם נבדק,הוכח זיהום,טרם נבדק,2012,2011,2018
181351,663952,6150,247-246,אספרגוס 24- 22,6568,אספרגוס 24- 22,,אחר,"שוקם, ללא NFA",טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2011,2011,2018
180530,664290,7109,42,איסרליש 20,6559,איסרליש 20,,אחר,"שוקם, ללא NFA",חקירה וסילוק,------,------,,2018,2018
180450,664300,7109,34,איסרליש 16,6557,איסרליש 16,,אחר,"שוקם, ללא NFA",חפירה וסילוק,לא נבדק ויש חשד,לא,2012,2011,2018
177946,662896,7041,44,ת.ד. סונול אילת,8043,אילת 45,,תחנת תדלוק,בשיקום,BV,הוכח זיהום,לא,2011,2011,2018
179620,662870,6977,65,איילת השחר 5,6554,איילת השחר 5,,אחר,"שוקם, ללא NFA",SVE,הוכח זיהום,לא,2012,2009,2018
185305,659333,7263; 6170; 6218; 6220; 6221; 6222; 6223; 6225; 6230; 6219,"7263: 2-92 (כל הגוש); 6170: 58,59; 6219: 8,56,59,92,94,96,98, 100,102,104,106,109,110, 112,114,116,118,124,136, 169,172,174,176,178,180, 182,183,185,187,189,191; חלקי 6170: 43,45-47,51,60,83,84,93; חלקי 6218: 33,34; חלקי 6219: 61,193,196,198; חלקי 6220: 1",תמל 1046,7439,"מדרום נחל איילון, מצפון שכונות מגורים של אור יהודה, ממזרח אזור תעסוקה קיים של אור יהודה וכביש 412 , וממערב-כביש 4",,חקלאות,בסקירה,BV,הוכח זיהום,לא,2007,,
184237,669118,6623,436,פתחיה 47,7520,פתחיה 47 תל אביב,,אחר,חקירה,חפירה וסילוק,הוכח זיהום,לא,2009,2012,30.06.2021
229861,741041,17463,55,"אפולק
",8032,נוף הגליל (א.ת. ציפורית) המרכבה 2,,אחר,"נסתיימה סקירה, אין כרגע צורך בשיקום, יצא מכתב NFA",טרם נבדק,הוכח זיהום,לא,2003,2010,21.06.2021
198415,746910,109913,114,"תחמ""ש גן היובל",7449,"גן היובל, חיפה",,אנרגיה,בסקירה,אחר,הוכח זיהום,------,,2010,
198187,681161,7763,19,מפעל אספלט אחים זילברברג,7239,א.ת טירה,,אחר,חקירה,חפירה וסילוק,הוכח זיהום,טרם נבדק,2012,2010,2021
190416,668045,6354,76,"אלכסדר ינאי 13, פ""ת",7508,אלכסדר ינאי 13 פתח תקווה,,אחר,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",טרם נבדק,הוכח זיהום,לא,2010,2010,06.06.2021
179490,663021,6977,"30, 31, 45, 46, 32, 33, 35, 36, 189, 190, 191, 209, 212",בית הבאר נבולסי,8004,בית נבלוסי,,אחר,בסקירה,חקירה וסילוק,הוכח זיהום,לא,2010,2014,2021
178788,662463,6972,300,דרך שלמה 92,7470,"דרך שלמה 92, תל אביב",,מתכת,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2009,14.03.2021
176079,657580,7120,66,הנביאים 47,7503,הנביאים 47 בת ים,,-,-,טרם נבדק,הוכח זיהום,טרם נבדק,,2012,21.06.2021
220492,628722,30140,6,קניון האחים ישראל,7518,רחוב יד חרוצים 13 אזור התעשיה תלפיות ירושלים,,אחר,בסקירה,חקירה וסילוק,הוכח זיהום,לא,06/07/2020,2011,27.06.2021
183336,668803,6636,"חלקי 247,248,249,250 ,862",ארבעה מבנים  רבי קומות ושתי סככות,7515,"קהילת ורשה 51,53,55,57 תל אביב",,אחר,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2010,24.06.2021
218294,731575,17182,22,תחנת שאיבה נהלל,7479,תחנת שאיבה נהלל,,שפכים אחר,חקירה,חקירה וסילוק,------,------,,2010,2021
254631,779548,"13349,13350","8,9,33,36,28,2,3,26",מתחם לב החולה,7511,עמק החולה,,כימית,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,,24.06.2021
222820,638870,30645,39,דלק נווה יעקב,3076,גולדברג לאה 1,,תחנת תדלוק,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2011,22.06.2021
174550,643840,4907,12,הייטק פארק יבנה,7465,"רחוב הירמוך, יבנה",,אחר,בשיקום,חפירה וסילוק,הוכח זיהום,לא,,2011,22.06.2021
212025,727975,11412,2,תחנת דלק- דור אלון הזורע,5033,התחנה ממוקמת בסמיכות לכביש 66 צומת התשבי לכיוון עפולה,,תחנת תדלוק,"נסתיימה סקירה, אין כרגע צורך בשיקום, ללא מכתב NFA",טרם נבדק,הוכח זיהום,טרם נבדק,,2011,21.06.2021
181578,663362,6164; 6133,111; 696,דרך השלום 90,7481,דרך השלום 90 תל אביב,,אחר,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,2010,2011,21.06.2021
181896,665943,6109,105,"בנימין 11 רמת גן
",8021,בנימין 11 רמת גן,,-,-,טרם נבדק,הוכח זיהום,טרם נבדק,2012,2013,21.06.2021
179428,662693,6946,23,נווה שאנן 46,7494,נווה שאנן 46,,אחר,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2014,20.04.2021
184824,674033,6424,117,"גלבוע 16
",8014,גלבוע 16,,-,-,טרם נבדק,הוכח זיהום,טרם נבדק,,2018,20.06.2021
182325,654250,6420,118,"דלק-גלילות
",8013,"אבן אבן 1, הרצליה",,תחנת תדלוק,-,טרם נבדק,הוכח זיהום,טרם נבדק,,2014,20.06.2021
